Symbol,Date,Open,High,Low,Close,Volume
AAPL,2025-09-05,239.995,241.32,238.4901,239.69,54870397
AAPL,2025-09-04,238.45,239.8999,236.74,239.78,47549429
AAPL,2025-09-03,237.21,238.85,234.36,238.47,66061716
AAPL,2025-09-02,229.25,230.85,226.97,229.72,44075638
AAPL,2025-08-29,232.51,233.38,231.37,232.14,39418437
AAPL,2025-08-28,230.82,233.41,229.335,232.56,38074700
AAPL,2025-08-27,228.61,230.9,228.26,230.49,31259513
AAPL,2025-08-26,226.87,229.49,224.69,229.31,54575107
AAPL,2025-08-25,226.48,229.3,226.23,227.16,30983133
AAPL,2025-08-22,226.17,229.09,225.41,227.76,42477811
AAPL,2025-08-21,226.27,226.52,223.7804,224.9,30621249
AAPL,2025-08-20,229.98,230.47,225.77,226.01,42263865
AAPL,2025-08-19,231.275,232.87,229.35,230.56,39402564
AAPL,2025-08-18,231.7,233.12,230.11,230.89,37476188
AAPL,2025-08-15,234.0,234.28,229.335,231.59,56038657
AAPL,2025-08-14,234.055,235.12,230.85,232.78,51916275
AAPL,2025-08-13,231.07,235.0,230.43,233.33,69878546
AAPL,2025-08-12,228.005,230.8,227.07,229.65,55672301
AAPL,2025-08-11,227.92,229.56,224.76,227.18,61806132
AAPL,2025-08-08,220.83,231.0,219.25,229.35,113853967
AAPL,2025-08-07,218.875,220.85,216.58,220.03,90224834
AAPL,2025-08-06,205.63,215.38,205.59,213.25,108483103
AAPL,2025-08-05,203.4,205.34,202.16,202.92,44155079
AAPL,2025-08-04,204.505,207.88,201.675,203.35,75109298
AAPL,2025-08-01,210.865,213.58,201.5,202.38,104434473
AAPL,2025-07-31,208.49,209.84,207.16,207.57,80698431
AAPL,2025-07-30,211.895,212.39,207.72,209.05,45512514
AAPL,2025-07-29,214.175,214.81,210.82,211.27,51411723
AAPL,2025-07-28,214.03,214.845,213.06,214.05,37858017
AAPL,2025-07-25,214.7,215.24,213.4,213.88,40268781
AAPL,2025-07-24,213.9,215.69,213.53,213.76,46022620
AAPL,2025-07-23,215.0,215.15,212.41,214.15,46989301
AAPL,2025-07-22,213.14,214.95,212.2301,214.4,46404072
AAPL,2025-07-21,212.1,215.78,211.63,212.48,51377434
AAPL,2025-07-18,210.87,211.79,209.7045,211.18,48974591
AAPL,2025-07-17,210.57,211.8,209.59,210.02,48068141
AAPL,2025-07-16,210.295,212.4,208.64,210.16,47490532
AAPL,2025-07-15,209.22,211.89,208.92,209.11,42296339
AAPL,2025-07-14,209.925,210.91,207.54,208.62,38840111
AAPL,2025-07-11,210.565,212.13,209.86,211.16,39765812
AAPL,2025-07-10,210.505,213.48,210.03,212.41,44443635
AAPL,2025-07-09,209.53,211.33,207.22,211.14,48749367
AAPL,2025-07-08,210.1,211.43,208.45,210.01,42848928
AAPL,2025-07-07,212.68,216.23,208.8,209.95,50228984
AAPL,2025-07-03,212.145,214.65,211.8101,213.55,34955836
AAPL,2025-07-02,208.91,213.34,208.14,212.44,67941811
AAPL,2025-07-01,206.665,210.1865,206.1401,207.82,78788867
AAPL,2025-06-30,202.01,207.39,199.2607,205.17,91912816
AAPL,2025-06-27,201.89,203.22,200.0,201.08,73188571
AAPL,2025-06-26,201.43,202.64,199.46,201.0,50799121
AAPL,2025-06-25,201.45,203.67,200.6201,201.56,39525730
AAPL,2025-06-24,202.59,203.44,200.2,200.3,54064033
AAPL,2025-06-23,201.625,202.3,198.96,201.5,55814272
AAPL,2025-06-20,198.235,201.7,196.855,201.0,96813542
AAPL,2025-06-18,195.94,197.57,195.07,196.58,45394689
AAPL,2025-06-17,197.2,198.39,195.21,195.64,38856152
AAPL,2025-06-16,197.3,198.685,196.5636,198.42,43020691
